experiment	param_changed	old_value	new_value	score	delta	kept
baseline_25q	-	-	-	0.8628	0.0000	yes
exp1_tdw_080	TYPE_DIVERSITY_WEIGHT	0.65	0.80	0.8603	-0.0025	no
exp2_mmr_045	MMR_LAMBDA	0.35	0.45	0.8121	-0.0507	no
exp3_temp_div_025	TEMPORAL_DIVERSITY_WEIGHT	0.15	0.25	0.8581	-0.0047	no
exp4_recent_rel_12	recent.relevance	1.0	1.2	0.8121	-0.0507	no
exp5_sem_div_010	SEMANTIC_DIVERSITY_WEIGHT	0.0	0.10	0.8667	+0.0039	no
exp5b_sem_div_005	SEMANTIC_DIVERSITY_WEIGHT	0.0	0.05	0.8640	+0.0012	no
exp6_default_imp_10	default.importance	1.2	1.0	0.8671	+0.0043	no
exp7_default_imp_14	default.importance	1.2	1.4	0.8567	-0.0061	no
exp8_mmr_030	MMR_LAMBDA	0.35	0.30	0.8608	-0.0020	no
exp9_id_rel_14	identity.relevance	1.2	1.4	0.8622	-0.0006	no
exp9b_id_rel_10	identity.relevance	1.2	1.0	0.8666	+0.0038	no
exp11_tdw_050	TYPE_DIVERSITY_WEIGHT	0.65	0.50	0.8639	+0.0011	no
exp11b_tdw_070	TYPE_DIVERSITY_WEIGHT	0.65	0.70	0.8628	+0.0000	no
exp12_refl_imp_08	reflection.importance	0.5	0.8	0.8628	+0.0000	no
exp12b_refl_rel_15	reflection.relevance	1.8	1.5	0.8623	-0.0005	no
exp13_combo	default.imp+id.rel+sem_div	1.2/1.2/0.0	1.0/1.0/0.10	0.8666	+0.0038	no
exp14_id_imp_18	identity.importance	1.5	1.8	0.8624	-0.0004	no
exp15_temp_div_00	TEMPORAL_DIVERSITY_WEIGHT	0.15	0.0	0.8630	+0.0002	no
s16_baseline_partial	-	-	-	0.890035	0.0000	yes
s16_exp1_pres_pen_015	presence_penalty_delta	0.20	0.15	0.913596	+0.023596	no
s16_exp2_baseline_run	-	-	-	0.822236	-0.067799	no
s16_exp3_temporal_020_partial	TEMPORAL_DIVERSITY_WEIGHT	0.30	0.20	0.870000	-0.020035	no
s16_exp4_mmr_012	MMR_LAMBDA	0.15	0.12	0.928823	+0.038823	yes
s16_exp5_tdw_065_on_mmr012	TYPE_DIVERSITY_WEIGHT	0.70	0.65	0.922048	-0.006775	no
s16_exp6_temporal_020_on_mmr012	TEMPORAL_DIVERSITY_WEIGHT	0.30	0.20	0.913869	-0.000000	no
s16_exp7_alpha_085_on_mmr012	ALPHA_CITATION_BASELINE	0.90	0.85	0.913869	+0.000000	no
s16_exp8_tdw_080_on_mmr012	TYPE_DIVERSITY_WEIGHT	0.70	0.80	0.913869	+0.000000	no
s16_exp9_sem_div_005_on_mmr012	SEMANTIC_DIVERSITY_WEIGHT	0.0	0.05	0.911902	-0.001967	no
s16_exp10_id_imp_010_on_mmr012	identity.importance	-0.05	-0.10	0.913869	+0.000000	no
s16_exp11_mmr_010	MMR_LAMBDA	0.12	0.10	0.910460	-0.003409	no
s16_exp12_default_imp_010_on_mmr012	default.importance	-0.05	-0.10	0.913869	+0.000000	no
